Date,Monthly_Investment,Cumulative_Invested,Portfolio_Value,Profit_Loss,Return_on_Invested
2019-06-30,50000,1300000,1129711.5134575027,-170288.4865424973,-0.1309911434942287
2019-07-31,50000,1350000,1119090.8473432835,-230909.15265671653,-0.171043816782753
2019-08-31,50000,1400000,1094345.9057942468,-305654.0942057532,-0.2183243530041094
2019-09-30,50000,1450000,1238642.7381064727,-211357.26189352735,-0.14576362889208783
2019-10-31,50000,1500000,1376843.3210994622,-123156.67890053778,-0.08210445260035852
2019-11-30,50000,1550000,1638999.027590349,88999.02759034908,0.05741872747764457
2019-12-31,50000,1600000,1757247.1136162877,157247.1136162877,0.09827944601017982
2020-01-31,50000,1650000,1854172.5854798649,204172.58547986485,0.12374096089688778
2020-02-29,50000,1700000,1749277.7320659226,49277.73206592258,0.02898690121524858
2020-03-31,50000,1750000,1401884.5128117346,-348115.4871882654,-0.19892313553615168
2020-04-30,50000,1800000,1693709.5363201187,-106290.4636798813,-0.059050257599934056
2020-05-31,50000,1850000,1742462.4096042872,-107537.59039571276,-0.05812842724092582
2020-06-30,50000,1900000,1825793.9728919365,-74206.02710806346,-0.039055803741086026
2020-07-31,50000,1950000,2142195.4558176063,192195.4558176063,0.09856177221415707
2020-08-31,50000,2000000,2303687.3933112677,303687.3933112677,0.15184369665563385
2020-09-30,50000,2050000,2333841.068483323,283841.06848332286,0.13845905779674286
2020-10-31,50000,2100000,2354991.8673582044,254991.86735820444,0.12142469874200211
2020-11-30,50000,2150000,2485907.996738864,335907.9967388641,0.15623627755296005
2020-12-31,50000,2200000,2710868.6312396238,510868.63123962376,0.23221301419982898
2021-01-31,50000,2250000,2937195.8050568453,687195.8050568453,0.30542035780304233
2021-02-28,50000,2300000,2967505.6476214165,667505.6476214165,0.2902198467919202
2021-03-31,50000,2350000,2947990.702688937,597990.7026889371,0.25446412880380304
2021-04-30,50000,2400000,2989855.8811064605,589855.8811064605,0.24577328379435853
2021-05-31,50000,2450000,3300461.916365493,850461.9163654931,0.34712731280224207
2021-06-30,50000,2500000,3328139.2367221364,828139.2367221364,0.3312556946888546
2021-07-31,50000,2550000,3372134.8818557714,822134.8818557714,0.3224058360218711
2021-08-31,50000,2600000,3463860.5236035124,863860.5236035124,0.33225404753981247
2021-09-30,50000,2650000,3344574.526950287,694574.5269502872,0.26210359507558006
2021-10-31,50000,2700000,3508754.0986448843,808754.0986448843,0.29953855505366084
2021-11-30,50000,2750000,3487286.711114755,737286.7111147549,0.2681042585871836
2021-12-31,50000,2800000,3516202.643447536,716202.643447536,0.25578665837412
2022-01-31,50000,2850000,3644066.631009607,794066.6310096071,0.27861987052968673
2022-02-28,50000,2900000,3636963.205597522,736963.2055975222,0.25412524330949043
2022-03-31,50000,2950000,3742124.0809557755,792124.0809557755,0.2685166376121273
2022-04-30,50000,3000000,3836132.360793565,836132.3607935649,0.27871078693118834
2022-05-31,50000,3050000,3718565.997424436,668565.9974244358,0.21920196636866748
2022-06-30,50000,3100000,3652132.551006764,552132.5510067642,0.17810727451831102
2022-07-31,50000,3150000,3595912.8637103173,445912.8637103173,0.1415596392731166
2022-08-31,50000,3200000,3860649.2198958662,660649.2198958662,0.2064528812174582
2022-09-30,50000,3250000,3816254.8807995296,566254.8807995296,0.1742322710152399
2022-10-31,50000,3300000,3896437.921627097,596437.9216270968,0.18073876412942327
2022-11-30,50000,3350000,4067248.1187918414,717248.1187918414,0.2141039160572661
2022-12-31,50000,3400000,3949623.1102768225,549623.1102768225,0.16165385596377133
2023-01-31,50000,3450000,4042552.9399728575,592552.9399728575,0.17175447535445143
2023-02-28,50000,3500000,4094816.993554725,594816.9935547248,0.1699477124442071
2023-03-31,50000,3550000,4111779.7955230908,561779.7955230908,0.1582478297248143
2023-04-30,50000,3600000,4343986.855570436,743986.8555704365,0.20666301543623236
2023-05-31,50000,3650000,4388359.138276884,738359.1382768843,0.20229017487037926
2023-06-30,50000,3700000,4470736.93916449,770736.9391644904,0.20830728085526767
2023-07-31,50000,3750000,5255238.099488476,1505238.0994884763,0.4013968265302603
2023-08-31,50000,3800000,4995652.95493267,1195652.95493267,0.31464551445596584
2023-09-30,50000,3850000,5205906.817127853,1355906.8171278527,0.35218358886437734
2023-10-31,50000,3900000,5930297.405331499,2030297.405331499,0.5205890782901279
2023-11-30,50000,3950000,6988743.443343176,3038743.4433431756,0.7693021375552344
2023-12-31,50000,4000000,7294257.741516526,3294257.741516526,0.8235644353791315
2024-01-31,50000,4050000,7322255.194564305,3272255.1945643052,0.8079642455714334
2024-02-29,50000,4100000,7714694.364547846,3614694.364547846,0.881632771840938
2024-03-31,50000,4150000,8091630.247315058,3941630.2473150576,0.949790421039773
2024-04-30,50000,4200000,8676415.843967786,4476415.843967786,1.0658132961828062
2024-05-31,50000,4250000,9352373.767319161,5102373.767319161,1.2005585334868616
2024-06-30,50000,4300000,9763414.610908939,5463414.610908939,1.2705615374206833
2024-07-31,50000,4350000,9788312.444686247,5438312.444686247,1.25018676889339
2024-08-31,50000,4400000,9959174.839497084,5559174.839497084,1.263448827158428
2024-09-30,50000,4450000,10389968.812716432,5939968.812716432,1.3348244522958275
2024-10-31,50000,4500000,11499297.528967528,6999297.528967528,1.5553994508816729
2024-11-30,50000,4550000,13212871.168272762,8662871.168272762,1.9039277292907169
2024-12-31,50000,4600000,15128894.01994171,10528894.01994171,2.2888900043351543
