,Portfolio_Value,Cumulative_Invested,Profit_Loss
2028-05-31,2543715.043823099,2050000,493715.04382309923
2028-06-30,2620334.8104244894,2100000,520334.81042448943
2028-07-31,2697756.3965177815,2150000,547756.3965177815
2028-08-31,2775988.193077343,2200000,575988.193077343
2028-09-30,2855038.6788883912,2250000,605038.6788883912
2028-10-31,2934916.4214659263,2300000,634916.4214659263
2028-11-30,3015630.0779832806,2350000,665630.0779832806
2028-12-31,3097188.396210387,2400000,697188.3962103869
2029-01-31,3179600.2154618627,2450000,729600.2154618627
2029-02-28,3262874.467555019,2500000,762874.4675550191
2029-03-31,3347020.1777778934,2550000,797020.1777778934
2029-04-30,3432046.465867412,2600000,832046.4658674118
2029-05-31,3517962.5469977907,2650000,867962.5469977907
2029-06-30,3604777.7327792784,2700000,904777.7327792784
2029-07-31,3692501.432267351,2750000,942501.4322673511
2029-08-31,3781143.1529824687,2800000,981143.1529824687
2029-09-30,3870712.501940503,2850000,1020712.5019405028
2029-10-31,3961219.186693948,2900000,1061219.1866939482
2029-11-30,4052673.0163840298,2950000,1102673.0163840298
2029-12-31,4145083.9028038206,3000000,1145083.9028038206
2030-01-31,4238461.861472484,3050000,1188461.8614724837
2030-02-28,4332817.012720761,3100000,1232817.012720761
2030-03-31,4428159.582787811,3150000,1278159.5827878108
2030-04-30,4524499.904929538,3200000,1324499.9049295383
2030-05-31,4621848.42053851,3250000,1371848.4205385102
2030-06-30,4720215.680275601,3300000,1420215.6802756013
2030-07-31,4819612.345213475,3350000,1469612.3452134747
2030-08-31,4920049.187992034,3400000,1520049.1879920335
2030-09-30,5021537.093985963,3450000,1571537.0939859627
2030-10-31,5124087.062484488,3500000,1624087.062484488
2030-11-30,5227710.207883484,3550000,1677710.2078834837
2030-12-31,5332417.760890054,3600000,1732417.7608900536
2031-01-31,5438221.069739719,3650000,1788221.069739719
2031-02-28,5545131.601426342,3700000,1845131.6014263416
2031-03-31,5653160.942944922,3750000,1903160.9429449216
2031-04-30,5762320.8025474,3800000,1962320.8025474
2031-05-31,5872623.011011601,3850000,2022623.0110116014
2031-06-30,5984079.522923457,3900000,2084079.5229234574
2031-07-31,6096702.417972648,3950000,2146702.4179726476
2031-08-31,6210503.902261801,4000000,2210503.902261801
2031-09-30,6325496.309629397,4050000,2275496.3096293965
2031-10-31,6441692.102986507,4100000,2341692.102986507
2031-11-30,6559103.875667537,4150000,2409103.8756675366
2031-12-31,6677744.352795086,4200000,2477744.352795086
2032-01-31,6797626.392659106,4250000,2547626.3926591063
2032-02-29,6918762.988110486,4300000,2618762.9881104864
2032-03-31,7041167.267969219,4350000,2691167.267969219
2032-04-30,7164852.498447308,4400000,2764852.4984473083
2032-05-31,7289832.0845865635,4450000,2839832.0845865635
2032-06-30,7416119.571711443,4500000,2916119.5717114434
2032-07-31,7543728.646897103,4550000,2993728.6468971027
2032-08-31,7672673.140452799,4600000,3072673.1404527994
2032-09-30,7802967.027420829,4650000,3152967.027420829
2032-10-31,7934624.429091143,4700000,3234624.4290911434
2032-11-30,8067659.614531822,4750000,3317659.6145318216
2032-12-31,8202087.002135553,4800000,3402087.0021355534
2033-01-31,8337921.161182311,4850000,3487921.1611823114
2033-02-28,8475176.813418372,4900000,3575176.8134183716
2033-03-31,8613868.834651863,4950000,3663868.834651863
2033-04-30,8754012.256365009,5000000,3754012.2563650087
2033-05-31,8895622.267343247,5050000,3845622.2673432473
