Date,Monthly_Investment,Cumulative_Invested,Portfolio_Value,Profit_Loss,Return_on_Invested
2012-05-31,50000,1400000,1815816.8913074303,415816.89130743034,0.2970120652195931
2012-06-30,50000,1450000,1876098.7192557647,426098.71925576474,0.29386118569363084
2012-07-31,50000,1500000,2040742.567998867,540742.567998867,0.36049504533257803
2012-08-31,50000,1550000,2214800.3078225255,664800.3078225255,0.4289034244016294
2012-09-30,50000,1600000,2282657.235252718,682657.235252718,0.4266607720329487
2012-10-31,50000,1650000,2412287.792657768,762287.7926577679,0.46199260161076844
2012-11-30,50000,1700000,2574568.81091907,874568.8109190702,0.5144522417171001
2012-12-31,50000,1750000,2688159.5355828716,938159.5355828716,0.5360911631902123
2013-01-31,50000,1800000,2804445.661825934,1004445.661825934,0.5580253676810745
2013-02-28,50000,1850000,3019593.7240831754,1169593.7240831754,0.6322128238287434
2013-03-31,50000,1900000,3061647.591216447,1161647.5912164468,0.6113934690612878
2013-04-30,50000,1950000,3285960.934206421,1335960.934206421,0.6851081713879082
2013-05-31,50000,2000000,3845618.626374725,1845618.6263747248,0.9228093131873624
2013-06-30,50000,2050000,3768370.4724417706,1718370.4724417706,0.8382294987520832
2013-07-31,50000,2100000,4251941.123427331,2151941.1234273314,1.0247338682987293
2013-08-31,50000,2150000,4110108.64975309,1960108.64975309,0.9116784417456233
2013-09-30,50000,2200000,4117726.8642241578,1917726.8642241578,0.871694029192799
2013-10-31,50000,2250000,4365522.909808465,2115522.9098084653,0.9402324043593179
2013-11-30,50000,2300000,4729796.812274055,2429796.8122740546,1.0564333966408934
2013-12-31,50000,2350000,4989198.727927581,2639198.7279275814,1.123063288479822
2014-01-31,50000,2400000,5364660.237084823,2964660.2370848227,1.2352750987853427
2014-02-28,50000,2450000,5237575.427484578,2787575.4274845785,1.1377858887692156
2014-03-31,50000,2500000,5592858.731329637,3092858.7313296366,1.2371434925318547
2014-04-30,50000,2550000,6031596.476477182,3481596.4764771815,1.3653319515596791
2014-05-31,50000,2600000,6282289.34283161,3682289.34283161,1.4162651318583115
2014-06-30,50000,2650000,6342987.594233427,3692987.594233427,1.3935802242390292
2014-07-31,50000,2700000,6564395.451629311,3864395.451629311,1.4312575746775225
2014-08-31,50000,2750000,6264115.2690809695,3514115.2690809695,1.2778600978476253
2014-09-30,50000,2800000,6598367.71308992,3798367.7130899196,1.3565598975321143
2014-10-31,50000,2850000,6823763.645444295,3973763.6454442954,1.3943030334892264
2014-11-30,50000,2900000,7090645.639436978,4190645.639436978,1.4450502204955096
2014-12-31,50000,2950000,7386501.284632201,4436501.284632201,1.5038987405532886
2015-01-31,50000,3000000,8005087.151361773,5005087.151361773,1.6683623837872577
2015-02-28,50000,3050000,7902034.470911355,4852034.470911355,1.5908309740692967
2015-03-31,50000,3100000,7185143.915405108,4085143.9154051077,1.3177883598080993
2015-04-30,50000,3150000,8103775.740321774,4953775.740321774,1.5726272191497694
2015-05-31,50000,3200000,8028242.465267353,4828242.465267353,1.5088257703960477
2015-06-30,50000,3250000,8442877.861677337,5192877.861677337,1.597808572823796
2015-07-31,50000,3300000,8863040.037183179,5563040.037183179,1.6857697082373269
2015-08-31,50000,3350000,8700495.920272777,5350495.920272777,1.5971629612754559
2015-09-30,50000,3400000,8175708.172766931,4775708.172766931,1.4046200508138034
2015-10-31,50000,3450000,8765993.917280464,5315993.9172804635,1.5408678021102793
2015-11-30,50000,3500000,8339829.847020377,4839829.847020377,1.3828085277201079
2015-12-31,50000,3550000,8573979.665816544,5023979.665816544,1.415205539666632
2016-01-31,50000,3600000,8264428.976527216,4664428.976527216,1.2956747157020043
2016-02-29,50000,3650000,8371140.693592508,4721140.693592508,1.2934632037239748
2016-03-31,50000,3700000,8934461.867630932,5234461.8676309325,1.414719423684036
2016-04-30,50000,3750000,9453951.92979446,5703951.929794461,1.5210538479451894
2016-05-31,50000,3800000,9914910.441700358,6114910.441700358,1.6091869583421994
2016-06-30,50000,3850000,10486563.673449297,6636563.6734492965,1.7237827723244925
2016-07-31,50000,3900000,11065271.777538719,7165271.777538719,1.8372491737278767
2016-08-31,50000,3950000,11251718.019806044,7301718.019806044,1.848536207545834
2016-09-30,50000,4000000,11561451.992314015,7561451.992314015,1.8903629980785037
2016-10-31,50000,4050000,11478580.167517526,7428580.167517526,1.8342173253129694
2016-11-30,50000,4100000,12370844.777150847,8270844.777150847,2.017279213939231
2016-12-31,50000,4150000,13991116.333865754,9841116.333865754,2.3713533334616277
2017-01-31,50000,4200000,14385095.734638548,10185095.734638548,2.425022793961559
2017-02-28,50000,4250000,14434720.823358605,10184720.823358605,2.396404899613789
2017-03-31,50000,4300000,14437712.228997516,10137712.228997516,2.357607495115701
2017-04-30,50000,4350000,14899162.942399217,10549162.942399217,2.425094929287176
2017-05-31,50000,4400000,15409777.830818627,11009777.830818627,2.5022222342769607
2017-06-30,50000,4450000,14296880.23398535,9846880.23398535,2.2127820750528877
2017-07-31,50000,4500000,14241062.081595033,9741062.081595033,2.164680462576674
2017-08-31,50000,4550000,12860903.572811909,8310903.572811909,1.8265722138048153
2017-09-30,50000,4600000,13347275.74765599,8747275.74765599,1.9015816842730413
2017-10-31,50000,4650000,12574586.207140092,7924586.207140092,1.704212087557009
2017-11-30,50000,4700000,12807740.738911424,8107740.738911424,1.7250512210449838
2017-12-31,50000,4750000,13064913.343226215,8314913.343226215,1.7505080722581505
2018-01-31,50000,4800000,14336434.338057898,9536434.338057898,1.986757153762062
2018-02-28,50000,4850000,14187106.005056214,9337106.005056214,1.925176495887879
2018-03-31,50000,4900000,15068059.606544616,10168059.606544616,2.0751142054172687
2018-04-30,50000,4950000,15163356.524206633,10213356.524206633,2.0633043483245723
2018-05-31,50000,5000000,14396954.035658404,9396954.035658404,1.879390807131681
2018-06-30,50000,5050000,14196686.774776835,9146686.774776835,1.811225103916205
2018-07-31,50000,5100000,14584844.936332613,9484844.936332613,1.8597735169279634
2018-08-31,50000,5150000,14368472.683975857,9218472.683975857,1.789994695917642
2018-09-30,50000,5200000,14226856.506472714,9026856.506472714,1.735933943552445
2018-10-31,50000,5250000,14569202.909590056,9319202.909590056,1.775086268493344
2018-11-30,50000,5300000,14280183.066934552,8980183.066934552,1.6943741635725569
2018-12-31,50000,5350000,13179278.674315453,7829278.674315453,1.4634165746384022
2019-01-31,50000,5400000,14624663.311109146,9224663.311109146,1.7082709835387309
2019-02-28,50000,5450000,14112574.646822233,8662574.646822233,1.5894632379490334
2019-03-31,50000,5500000,14079960.30758637,8579960.30758637,1.5599927831975218
2019-04-30,50000,5550000,13511147.042235754,7961147.042235754,1.4344409085109469
2019-05-31,50000,5600000,13323949.025281442,7723949.025281442,1.3792766116574005
2019-06-30,50000,5650000,12662685.152114945,7012685.1521149445,1.241183212763707
2019-07-31,50000,5700000,12033201.58522934,6333201.585229339,1.111087997408656
2019-08-31,50000,5750000,11279494.762614388,5529494.762614388,0.9616512630633718
2019-09-30,50000,5800000,12301418.375217417,6501418.375217417,1.1209342026236926
2019-10-31,50000,5850000,13227370.931152545,7377370.931152545,1.2610890480602641
2019-11-30,50000,5900000,15315556.527081339,9415556.527081339,1.5958570384883626
2019-12-31,50000,5950000,16003297.856880726,10053297.856880726,1.689629891912727
2020-01-31,50000,6000000,16480649.42143221,10480649.42143221,1.746774903572035
2020-02-29,50000,6050000,15153880.184150746,9103880.184150746,1.5047735841571481
2020-03-31,50000,6100000,11761288.353144137,5661288.353144137,0.9280800578924815
2020-04-30,50000,6150000,13840110.13303773,7690110.133037729,1.2504244118760535
2020-05-31,50000,6200000,13879919.264576033,7679919.264576033,1.2386966555767795
2020-06-30,50000,6250000,14195428.239027737,7945428.239027737,1.2712685182444379
2020-07-31,50000,6300000,16316682.274143199,10016682.274143199,1.5899495673243171
2020-08-31,50000,6350000,17215894.476172816,10865894.476172816,1.711164484436664
2020-09-30,50000,6400000,17117579.112304527,10717579.112304527,1.6746217362975824
2020-10-31,50000,6450000,16955984.377232477,10505984.377232477,1.628834787167826
2020-11-30,50000,6500000,17588581.98390009,11088581.983900089,1.705935689830783
2020-12-31,50000,6550000,18876483.5747509,12326483.5747509,1.8819058892749465
2021-01-31,50000,6600000,20154295.56164936,13554295.56164936,2.0536811457044486
2021-02-28,50000,6650000,20069186.67584549,13419186.675845489,2.017922808397818
2021-03-31,50000,6700000,19649058.36868311,12949058.36868311,1.932695278907927
2021-04-30,50000,6750000,19644837.850298464,12894837.850298464,1.910346348192365
2021-05-31,50000,6800000,21407148.914461948,14607148.914461948,2.1481101344796985
2021-06-30,50000,6850000,21312361.627286885,14462361.627286885,2.1112936682170633
2021-07-31,50000,6900000,21323911.618693925,14423911.618693925,2.0904219737237573
2021-08-31,50000,6950000,21637766.39557416,14687766.39557416,2.1133476828164257
2021-09-30,50000,7000000,20630284.194814593,13630284.194814593,1.9471834564020847
2021-10-31,50000,7050000,21384576.174054667,14334576.174054667,2.033273216177967
2021-11-30,50000,7100000,20999008.51965877,13899008.51965877,1.9576068337547563
2021-12-31,50000,7150000,20922048.9223415,13772048.9223415,1.9261606884393705
2022-01-31,50000,7200000,21435353.89143878,14235353.891438778,1.9771324849220526
2022-02-28,50000,7250000,21149456.594252888,13899456.594252888,1.9171664267935018
2022-03-31,50000,7300000,21520224.90373011,14220224.90373011,1.947976014209604
2022-04-30,50000,7350000,21823307.92803582,14473307.928035822,1.9691575412293636
2022-05-31,50000,7400000,20920042.502796646,13520042.502796646,1.8270327706481955
2022-06-30,50000,7450000,20315007.02689226,12865007.02689226,1.7268465807909072
2022-07-31,50000,7500000,19774159.442998633,12274159.442998633,1.6365545923998177
2022-08-31,50000,7550000,21005008.67554657,13455008.675546572,1.7821203543770294
2022-09-30,50000,7600000,20541428.239017166,12941428.239017166,1.7028195051338377
2022-10-31,50000,7650000,20753891.90734136,13103891.907341361,1.712927046711289
2022-11-30,50000,7700000,21447372.394825865,13747372.394825865,1.7853730382890733
2022-12-31,50000,7750000,20613453.8643342,12863453.8643342,1.6598004986237678
2023-01-31,50000,7800000,20887508.676435225,13087508.676435225,1.6778857277481056
2023-02-28,50000,7850000,20949206.838348594,13099206.838348594,1.6686887692163814
2023-03-31,50000,7900000,20830187.54004697,12930187.540046971,1.6367326000059457
2023-04-30,50000,7950000,21803244.566602543,13853244.566602543,1.7425464863650997
2023-05-31,50000,8000000,21824998.050076906,13824998.050076906,1.7281247562596131
2023-06-30,50000,8050000,22036025.3085513,13986025.3085513,1.7373944482672423
2023-07-31,50000,8100000,25706342.580245767,17606342.580245767,2.1736225407710825
2023-08-31,50000,8150000,24241986.49722051,16091986.497220509,1.9744768708246023
2023-09-30,50000,8200000,25069636.986257613,16869636.986257613,2.0572728032021477
2023-10-31,50000,8250000,28367241.645178836,20117241.645178836,2.43845353274895
2023-11-30,50000,8300000,33241086.132418565,24941086.132418565,3.004950136435972
2023-12-31,50000,8350000,34506408.00859003,26156408.008590028,3.132503953124554
2024-01-31,50000,8400000,34452322.17980991,26052322.179809913,3.1014669261678467
2024-02-29,50000,8450000,36113550.455494404,27663550.455494404,3.273792953312947
2024-03-31,50000,8500000,37693982.50375316,29193982.503753163,3.434586176912137
2024-04-30,50000,8550000,40235223.243550435,31685223.243550435,3.7058740635731504
2024-05-31,50000,8600000,43187983.696718656,34587983.696718656,4.02185856938589
2024-06-30,50000,8650000,44905220.96233047,36255220.96233047,4.1913550245468745
2024-07-31,50000,8700000,44839767.67413316,36139767.67413316,4.153996284383122
2024-08-31,50000,8750000,45443432.23423814,36693432.23423814,4.1935351124843585
2024-09-30,50000,8800000,47230984.33027842,38430984.33027842,4.367157310258912
2024-10-31,50000,8850000,52096507.73556845,43246507.73556845,4.886611043567056
2024-11-30,50000,8900000,59683174.801572636,50783174.801572636,5.705974696805914
2024-12-31,50000,8950000,68162089.8058537,59212089.805853695,6.6158759559613065
