Date,Gross_Investment,Transaction_Cost,Net_Investment,Cumulative_Net_Invested,Cumulative_Transaction_Costs,Portfolio_Value,Profit_Loss,Return_on_Invested
2021-12-31,50000,105.0,49895.0,7134985.0,15015.0,20878112.619604584,13743127.619604584,1.9261606884393707
2022-01-31,50000,105.0,49895.0,7184880.0,15120.0,21390339.64826676,14205459.648266759,1.9771324849220528
2022-02-28,50000,105.0,49895.0,7234775.0,15225.0,21105042.73540496,13870267.73540496,1.9171664267935022
2022-03-31,50000,105.0,49895.0,7284670.0,15330.0,21475032.431432277,14190362.431432277,1.947976014209604
2022-04-30,50000,105.0,49895.0,7334565.0,15435.0,21777478.98138695,14442913.981386948,1.9691575412293638
2022-05-31,50000,105.0,49895.0,7384460.0,15540.0,20876110.413540773,13491650.413540773,1.8270327706481955
2022-06-30,50000,105.0,49895.0,7434355.0,15645.0,20272345.512135785,12837990.512135785,1.7268465807909072
2022-07-31,50000,105.0,49895.0,7484250.0,15750.0,19732633.70816833,12248383.708168332,1.636554592399817
2022-08-31,50000,105.0,49895.0,7534145.0,15855.0,20960898.15732792,13426753.15732792,1.782120354377029
2022-09-30,50000,105.0,49895.0,7584040.0,15960.0,20498291.239715226,12914251.239715226,1.702819505133837
2022-10-31,50000,105.0,49895.0,7633935.0,16065.0,20710308.73433594,13076373.73433594,1.7129270467112885
2022-11-30,50000,105.0,49895.0,7683830.0,16170.0,21402332.912796725,13718502.912796725,1.7853730382890727
2022-12-31,50000,105.0,49895.0,7733725.0,16275.0,20570165.611219093,12836440.611219093,1.659800498623767
2023-01-31,50000,105.0,49895.0,7783620.0,16380.0,20843644.908214707,13060024.908214707,1.6778857277481052
2023-02-28,50000,105.0,49895.0,7833515.0,16485.0,20905213.503988057,13071698.503988057,1.6686887692163808
2023-03-31,50000,105.0,49895.0,7883410.0,16590.0,20786444.14621287,12903034.146212868,1.6367326000059452
2023-04-30,50000,105.0,49895.0,7933305.0,16695.0,21757457.753012672,13824152.753012672,1.742546486365099
2023-05-31,50000,105.0,49895.0,7983200.0,16800.0,21779165.554171737,13795965.554171737,1.7281247562596123
2023-06-30,50000,105.0,49895.0,8033095.0,16905.0,21989749.655403335,13956654.655403335,1.7373944482672412
2023-07-31,50000,105.0,49895.0,8082990.0,17010.0,25652359.26082724,17569369.26082724,2.1736225407710807
2023-08-31,50000,105.0,49895.0,8132885.0,17115.0,24191078.325576335,16058193.325576335,1.974476870824601
2023-09-30,50000,105.0,49895.0,8182780.0,17220.0,25016990.74858646,16834210.74858646,2.057272803202147
2023-10-31,50000,105.0,49895.0,8232675.0,17325.0,28307670.437723946,20074995.437723946,2.438453532748948
2023-11-30,50000,105.0,49895.0,8282570.0,17430.0,33171279.851540472,24888709.851540472,3.00495013643597
2023-12-31,50000,105.0,49895.0,8332465.0,17535.0,34433944.55177197,26101479.55177197,3.132503953124552
2024-01-31,50000,105.0,49895.0,8382360.0,17640.0,34379972.3032323,25997612.303232297,3.101466926167845
2024-02-29,50000,105.0,49895.0,8432255.0,17745.0,36037711.99953785,27605456.999537848,3.2737929533129453
2024-03-31,50000,105.0,49895.0,8482150.0,17850.0,37614825.14049526,29132675.140495263,3.4345861769121346
2024-04-30,50000,105.0,49895.0,8532045.0,17955.0,40150729.27473896,31618684.27473896,3.705874063573148
2024-05-31,50000,105.0,49895.0,8581940.0,18060.0,43097288.93095552,34515348.93095552,4.021858569385888
2024-06-30,50000,105.0,49895.0,8631835.0,18165.0,44810919.998309545,36179084.998309545,4.191355024546872
2024-07-31,50000,105.0,49895.0,8681730.0,18270.0,44745604.16201745,36063874.16201745,4.153996284383118
2024-08-31,50000,105.0,49895.0,8731625.0,18375.0,45348001.02654621,36616376.02654621,4.193535112484356
2024-09-30,50000,105.0,49895.0,8781520.0,18480.0,47131799.2631848,38350279.2631848,4.367157310258907
2024-10-31,50000,105.0,49895.0,8831415.0,18585.0,51987105.06932372,43155690.06932372,4.8866110435670524
2024-11-30,50000,105.0,49895.0,8881310.0,18690.0,59557840.13448929,50676530.13448929,5.705974696805909
2024-12-31,50000,105.0,49895.0,8931205.0,18795.0,68018949.41726136,59087744.41726136,6.615875955961302
